cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400937718097,"CHAMPIX 0,5 MG ET 1 MG CPR 0",531.9100000000001,11827,22682183743,99.99930717732903
3400949002405,CHIBRO-PROSCAR 5MG CPR (AIP)(MWI) 28,528.71,11828,22682184271.71,99.99930950826128
3400939378138,FLUVASTATINE BGA LP 80MG CPR 30,527.3000000000001,11829,22682184799.01,99.99931183297724
3400939092546,LOSARTAN ZTL 50MG CPR 28,525.4300000000001,11830,22682185324.44,99.99931414944892
3400937848350,NOVORAPID INNOLET 100U/ML INJ 0,525.31,11831,22682185849.75,99.99931646539154
3400936908734,VASTEN 20 MG CPR 84,525.25,11832,22682186375,99.99931878106963
3400939200729,FENTANYL BGA 75MICROG/H DISP TRANSD 5,522.55,11833,22682186897.55,99.9993210848442
3400927359583,ESOMEPRAZOLE ARL 40MG CPR 28,520.52,11834,22682187418.07,99.99932337966906
3400949245635,RISEDRONATE BGR 35MG CPR 12,520.4499999999999,11835,22682187938.52,99.99932567418533
3400937718677,CHAMPIX 1 MG CPR 56,519.56,11836,22682188458.08,99.99932796477783
3400938991598,LANSOPRAZOLE KRK 30MG GEL 14,517.78,11837,22682188975.86,99.99933024752282
3400949003198,INEGY 10MG/40MG CPR (AIP)(BBF) 90,516.73,11838,22682189492.59,99.99933252563866
3400939765174,"TRANDOLAPRIL EG 0,5MG GELULE 30",516.41,11839,22682190009,99.99933480234371
3400936499881,"NICOPASS 1,5MG PAST REGL SS SUCRE 96",513.11,11840,22682190522.11,99.9993370645
3400927799389,ULTRAVIST 55.5 G SOL INJ MED 1,508.68,11841,22682191030.79,99.99933930712567
3400922179339,LEVOCETIRIZINE KRKA 5MG CPR 14,508.21,11842,22682191539,99.99934154767925
3400930027356,PREGABALINE SUN 25 MG GELULE 56,505.97,11843,22682192044.97,99.9993437783573
3400939454979,OLANZAPINE VTS 10MG CPR PEL 28,504.74,11844,22682192549.71,99.99934600361262
3400927607035,TRAMADOL/PARACETAMOL ARW CPR EFF 20,503.8,11845,22682193053.51,99.99934822472376
3400930586327,GLUCOSE LAV 5% SOL INJ FV 250ML 1,503.51,11846,22682193557.02,99.99935044455638
3400949002399,"TEMERITDUO 5MG/12,5MG CPR (AIP) MWI 90",502.64000000000004,11847,22682194059.66,99.9993526605534
3400922285238,ATORVASTATINE VTS 80MG CPR 30,501.35,11848,22682194561.01,99.99935487086317
3400938205251,CYPROTERONE TVC 50MG CPR 20,501.16999999999996,11849,22682195062.18,99.9993570803794
3400936429345,CIFLOX 250 MG CPR 12,500.85,11850,22682195563.03,99.99935928848483
3400938746105,FLUVASTATINE TVC 40MG GELULE 90,499.0400000000001,11851,22682196062.07,99.99936148861049
3400927550102,CANDESARTAN ARL 4MG CPR 90,496.38,11852,22682196558.45,99.99936367700894
3400930149416,CLOZAPINE ACC 25MG CPR 14,495.25,11853,22682197053.7,99.99936586042556
3400949003136,EZETROL 10MG CPR (AIP)( BBF) 90,493.06,11854,22682197546.76,99.99936803418709
3400927902659,RAMIPRIL ARG 2.5 MG CPR 90,491.18,11855,22682198037.94,99.99937019966022
3400938557886,RISPERIDONE SDZ 1MG/ML SOL BUV 60ML 1,487.77,11856,22682198525.71,99.99937235009965
3400936746213,MIANSERINE ZEN 10MG CPR 30,487.29,11857,22682199013,99.9993744984229
3400941655548,METOPROLOL ACT 100MG CPR 30,484.54,11858,22682199497.54,99.99937663462217
3400949023899,COVERAM 10MG/5MG CPR (AIP) (BBA CZ) 30,483.83,11859,22682199981.37,99.99937876769123
3400949763535,OMEPRAZOLE ALM 20MG GELULE 7,483.31,11860,22682200464.68,99.99938089846778
3400921643497,"LOSARTAN HCTZ VTS 100/12,5MG CPR 28",482.15,11861,22682200946.83,99.99938302413022
3400949500062,KEPPRA 250MG CPR (ADP) (MWI) 60,481.95,11862,22682201428.78,99.9993851489109
3400926766351,PANTOPRAZOLE ZYF 40MG CPR 7,480.75,11863,22682201909.53,99.99938726840114
3400949399499,"OLANZAPINE ZTL 7,5MG CPR 28",480.01,11864,22682202389.54,99.99938938462893
3400934702785,NIQUITIN MENTHE 4MG CPR SS SUCRE 96,479.58000000000004,11865,22682202869.12,99.99939149896096
3400949001361,"TRIATEC 2,5 MG CPR (AIP BBA) 30",478.81,11866,22682203347.93,99.99939360989829
3400939541549,OMEPRAZOLE SDZ 20MG GELULE 14,475.9,11867,22682203823.83,99.99939570800626
3400936856714,AMISULPRIDE SDZ 400MG CPR 30,474.96,11868,22682204298.79,99.99939780197002
3400939648620,"LOSARTAN HCTZ ZEN 100/12,5MG CPR 28",472.42,11869,22682204771.21,99.99939988473564
3400939650111,LOSARTAN HCTZ ZEN 100/25MG CPR 90,470.93,11870,22682205242.14,99.99940196093229
3400938791686,FLUVASTATINE MYL LP 80MG CPR 30,470.24,11871,22682205712.38,99.99940403408692
3400935156150,OSSEANS VIT D3 500MG/400UI CPR 60,470.11,11872,22682206182.49,99.99940610666842
3400932886975,VOLTARENE EMULGEL 1% GEL TUBE 1,468.29,11873,22682206650.78,99.99940817122605
3400930078501,AMLODIPINE/VALSAR TVC 10MG/160MG CPR 90,467.63,11874,22682207118.41,99.99941023287391
3400926844745,FYCOMPA 2 MG CPR 28,466.83,11875,22682207585.24,99.99941229099484
3400930313893,"DIGOXINE NATIVELLE 0,5 MG SOL INJ 6",465.26,11876,22682208050.5,99.99941434219406
3400939645087,LOSARTAN ZEN 50MG CPR 28,459.99,11877,22682208510.49,99.99941637015935
3400922163079,IRBESARTAN BGA 75MG CPR PELL 30,459.44,11878,22682208969.93,99.99941839569983
3400921756661,DESLORATADINE GNR 5MG CPR 30,457.44,11879,22682209427.37,99.99942041242291
3400941800801,ATORVASTATINE ZTL 80MG CPR 30,456.4,11880,22682209883.77,99.9994224245609
3400930230121,ONTOZRY 200 MG CPR 14,456.31,11881,22682210340.08,99.99942443630212
3400921836547,RABEPRAZOLE ZEN 10MG CPR 14,455.87,11882,22682210795.95,99.9994264461035
3400936122932,METFORMINE CRT 850MG CPR 30,452.28,11883,22682211248.23,99.99942844007758
