cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400938288407,WYSTAMM 10MG CPR 15,20.869999999999997,29,0.7196551724137931
3400937800914,"ALPRAZOLAM ZYD 0,25MG CPR 30",21.16,20,1.058
3400935746061,ALLOPURINOL ARW 100MG CPR 30,21.53,20,1.0765
3400936434608,"OESTRODOSE 0,06% GEL FL 80G 1",21.53,12,1.7941666666666667
3400938524598,KETOPROFENE CRISTERS 50MG GELULE 24,21.73,19,1.1436842105263159
3400938524710,"KETOPROFENE CRISTERS 100 MG 1 BOITE DE 30, COMPRIM",21.810000000000002,12,1.8175000000000001
3400931077503,TREDEMINE 500MG CPR 4,21.830000000000002,11,1.9845454545454546
3400933986124,NUREFLEX 200MG CPR 30,21.959999999999997,22,0.9981818181818181
3400927357404,ESOMEPRAZOLE ACF 20MG CPR 14,22.49,13,1.73
3400933928162,KETUM LP 200MG GELULE 14,22.84,15,1.5226666666666666
3400931534778,"ANXYREX 6 MG (BROMAZEPAM) GE, 1 BOITE DE 30, COMPR",23.32,18,1.2955555555555556
3400937667838,"TIMOLOL SDZ 0,50% COLLYRE 3ML 1",23.330000000000002,14,1.6664285714285716
3400936742079,"ALPRAZOLAM ZEN 0,25MG CPR 0",23.610000000000003,25,0.9444000000000001
3400949946709,ESOMEPRAZOLE TVC 20MG GELULE 14,23.79,14,1.6992857142857143
3400934854811,SPIRONOLACTONE ALTIZIDE PFZ CPR 30,25.49,12,2.1241666666666665
3400932345434,AMODEX 500MG/5ML PDR ORALE FL 1,25.53,21,1.2157142857142857
3400928099846,"INFLUSPLIT TETRA INJ S0,5ML SA 10",25.87,13,1.99
3400933072889,FAZOL 2% PDR 1,26.51,15,1.7673333333333334
3400930066409,LANSOPRAZOLE ARW 30 MG CPR OROD 14,26.95,14,1.925
3400938524888,KETOPROFENE CRT LP 200MG CPR 14,26.979999999999997,17,1.5870588235294116
3400935243478,ECONAZOLE LXO 1% PDR FL 30G 1,28.43,25,1.1372
3400932345205,AMODEX 500MG GELULE 12,28.459999999999997,27,1.054074074074074
3400934747960,RANITIDINE MYL 300MG CPR 14,28.650000000000002,16,1.7906250000000001
3400934966743,NOCTAMIDE 1MG CPR 14,29.19,63,0.4633333333333334
3400949009244,ZOXAN LP 8MG CPR (AIP) (UK) 28,29.2,13,2.246153846153846
3400936596047,ECONAZOLE SDZ 1% EMULS FL 30G 1,29.96,35,0.856
3400937828710,PARACETAMOL RTP 500MG GELULE 16,30.8,39,0.7897435897435897
3400921760453,"DESLORATADINE GNR 0,5MG/ML BUV 150ML 1",31.16,45,0.6924444444444444
3400927920639,OMEPRAZOLE ARW 20MG GELULE 28,31.71,13,2.439230769230769
3400941888229,ESOMEPRAZOLE RBX 20MG CPR 14,31.75,18,1.7638888888888888
3400938559200,"PREDNISONE ARROW 1 MG 1 BOITE DE 30, COMPRIMES",31.979999999999997,27,1.1844444444444444
3400931465201,IPECA COMP BOIR GRLS TB80,32.01,130,0.24623076923076923
3400936808577,ECONAZOLE SDZ 1% SOL FL 30G 1,32.63,24,1.3595833333333334
3400936862685,OMEPRAZOLE VIATRIS 10MG GELULE 14,33.08,26,1.2723076923076921
3400938462173,"HEXAMIDINE MYL 0,1% SOL FL 250ML 1",33.18,33,1.0054545454545454
3400927510939,"TELMISARTAN/HCTZ SDZ 40MG/12,5MG CPR 30",33.379999999999995,11,3.034545454545454
3400936805965,OMEPRAZOLE ZEN 10MG GELULE 28,34.339999999999996,14,2.4528571428571424
3400949003501,MONURIL 3G GRANULES SACHET (AIP) PL 1,34.54,11,3.14
3400927523717,TELMISARTAN/HCTZ SDZ 80MG/25MG CPR 30,34.690000000000005,11,3.1536363636363642
3400949500130,AERIUS 5MG CPR ADP MWI 30,34.94,24,1.4558333333333333
3400931459576,AESCULUS COMPOSE GRL 4G 80,35.21,50,0.7042
3400949004560,COVERSYL 10MG CPR (AIP) (UK) 30,35.25,11,3.2045454545454546
3400931457855,ALLIUM CEPA COMPOSE GR 1,35.349999999999994,135,0.26185185185185184
3400932387656,FLUOGEL GEL DENTAIRE 1,35.52,11,3.2290909090909095
3400922117706,"CANDESARTAN ARROW 16 MG 1 BOITE DE 30, COMPRIMES S",35.809999999999995,13,2.7546153846153842
3400934433993,AMODEX 1 G CPR DISP 14,35.99,13,2.7684615384615388
